kode;nama_tindakan;kelas;biaya_dokter;biaya_rs
281;FEE II_TABLE 1C_DIGESTIVE SURGERY;ED;3940000;1380000
282;FEE II_TABLE 1C_ENT / OTORHINOLARYNGOLOGY;ED;4080000;1430000
283;FEE II_TABLE 1C_NEUROSURGERY;ED;5460000;1910000
284;FEE II_TABLE 1C_OBSTETRICS AND GYNECOLOGY;ED;3280000;1150000
285;FEE II_TABLE 1C_ONCOLOGY SURGERY;ED;5330000;1870000
286;FEE II_TABLE 1C_OPHTHALMOLOGY;ED;3200000;1120000
287;FEE II_TABLE 1C_ORTHOPEDIC SURGERY;ED;4670000;1630000
288;FEE II_TABLE 1C_PEDIATRIC SURGERY;ED;4730000;1660000
289;FEE II_TABLE 1C_PLASTIC SURGERY;ED;3820000;1340000
290;FEE II_TABLE 1C_UROLOGICAL SURGERY;ED;3820000;1340000
291;FEE II_TABLE 1C_VASCULAR SURGERY;ED;3460000;1210000
292;FEE II_TABLE 2A_CARDIAC SURGERY;ED;4850000;1700000
293;FEE II_TABLE 2A_DENTISTRY;ED;3650000;1280000
294;FEE II_TABLE 2A_DIGESTIVE SURGERY;ED;5250000;1840000
295;FEE II_TABLE 2A_ENT / OTORHINOLARYNGOLOGY;ED;5250000;1840000
296;FEE II_TABLE 2A_NEUROSURGERY;ED;7570000;2650000
297;FEE II_TABLE 2A_OBSTETRICS AND GYNECOLOGY;ED;3820000;1340000
298;FEE II_TABLE 2A_ONCOLOGY SURGERY;ED;6380000;2230000
299;FEE II_TABLE 2A_OPHTHALMOLOGY;ED;5020000;1760000
300;FEE II_TABLE 2A_ORTHOPEDIC SURGERY;ED;6530000;2290000
301;FEE II_TABLE 2A_PEDIATRIC SURGERY;ED;6310000;2210000
302;FEE II_TABLE 2A_PLASTIC SURGERY;ED;5340000;1870000
303;FEE II_TABLE 2A_UROLOGICAL SURGERY;ED;4590000;1610000
304;FEE II_TABLE 2A_VASCULAR SURGERY;ED;4160000;1460000
305;FEE II_TABLE 2B_CARDIAC SURGERY;ED;5810000;2030000
306;FEE II_TABLE 2B_DENTISTRY;ED;4110000;1440000
307;FEE II_TABLE 2B_DIGESTIVE SURGERY;ED;6570000;2300000
308;FEE II_TABLE 2B_ENT / OTORHINOLARYNGOLOGY;ED;6410000;2240000
309;FEE II_TABLE 2B_NEUROSURGERY;ED;9660000;3380000
310;FEE II_TABLE 2B_OBSTETRICS AND GYNECOLOGY;ED;4910000;1720000
311;FEE II_TABLE 2B_ONCOLOGY SURGERY;ED;7450000;2610000
312;FEE II_TABLE 2B_OPHTHALMOLOGY;ED;6380000;2230000
313;FEE II_TABLE 2B_ORTHOPEDIC SURGERY;ED;8400000;2940000
314;FEE II_TABLE 2B_PEDIATRIC SURGERY;ED;7880000;2760000
315;FEE II_TABLE 2B_PLASTIC SURGERY;ED;6880000;2410000
316;FEE II_TABLE 2B_UROLOGICAL SURGERY;ED;5360000;1880000
317;FEE II_TABLE 2B_VASCULAR SURGERY;ED;5540000;1940000
318;FEE II_TABLE 2C_CARDIAC SURGERY;ED;6790000;2380000
319;FEE II_TABLE 2C_DENTISTRY;ED;4560000;1600000
320;FEE II_TABLE 2C_DIGESTIVE SURGERY;ED;7880000;2760000
321;FEE II_TABLE 2C_ENT / OTORHINOLARYNGOLOGY;ED;8750000;3060000
322;FEE II_TABLE 2C_NEUROSURGERY;ED;11770000;4120000
323;FEE II_TABLE 2C_OBSTETRICS AND GYNECOLOGY;ED;6550000;2290000
324;FEE II_TABLE 2C_ONCOLOGY SURGERY;ED;9580000;3350000
325;FEE II_TABLE 2C_OPHTHALMOLOGY;ED;7760000;2720000
326;FEE II_TABLE 2C_ORTHOPEDIC SURGERY;ED;10260000;3590000
327;FEE II_TABLE 2C_PEDIATRIC SURGERY;ED;9450000;3310000
328;FEE II_TABLE 2C_PLASTIC SURGERY;ED;9170000;3210000
329;FEE II_TABLE 2C_UROLOGICAL SURGERY;ED;6880000;2410000
330;FEE II_TABLE 2C_VASCULAR SURGERY;ED;6930000;2430000
331;FEE II_TABLE 3A_CARDIAC SURGERY;ED;7750000;2710000
332;FEE II_TABLE 3A_DENTISTRY;ED;6850000;2400000
333;FEE II_TABLE 3A_DIGESTIVE SURGERY;ED;9710000;3400000
334;FEE II_TABLE 3A_ENT / OTORHINOLARYNGOLOGY;ED;10490000;3670000
335;FEE II_TABLE 3A_NEUROSURGERY;ED;13860000;4850000
336;FEE II_TABLE 3A_OBSTETRICS AND GYNECOLOGY;ED;8190000;2870000
337;FEE II_TABLE 3A_ONCOLOGY SURGERY;ED;11710000;4100000
338;FEE II_TABLE 3A_OPHTHALMOLOGY;ED;9130000;3200000
